hand;рука (кисть)
fotled;лодыжка (косточка)
navel;пуповина
ögonbryn;бровь
haka;подбородок
ben;нога (до косточки)
handled;запястье
hår;волосы
tå;палец на ноге
stortå;большой палец на ноге
lilltå;мизинец на ноге
mellantå;средние пальцы на ноге
sula;подошва
öga;глаз
finger;палец на руке
lillfinger;мизинец на руке
ringfinger;безымянный палец
longfinger;средний палец
pekfinger;указательный палец
tumme;большой палец на руке
knä;колено
kind;щека
panna;лоб
armbåde;локоть
öra;ухо
häl;пятка
mun;рот
näsa;нос
fot;ступня
axel;плечо
nacke;шея
läpp;губа
handflata;ладонь
hals;горло
lår;бедро
arm;рука до кисти
vad;икра ( на ноге)
muskel;мышца
adamsäpple;адамово яблоко
potatisskalare;картофелечистка
skala;чистить
skölja;полоскать
skura;скрести
glödlampa;лампочка
durkslag;дуршлаг
sopborste;веник
sopskyffel;совок
sop;мусор
skyffel;лопата
skurborshte;щетка
osthyvel;нож для сыра
kökshandduk;кухонное полотенце
bricka;поднос
skåll;чаша
pall;табурет
spegel;зеркало
matrum;столовая
matrumsskåp;сервант
toalettbord;туалетный столик
golvlampa;торшер
golv;пол
diskmaskin;посудомойка
rullgardin;ролета
persienn;жалюзи
strömbrytare;выключатель
vägguttag;розетка
spis;печь
badkar;ванна
skåp;шкафчик
tvättmaskin;стиралка
garderob;гардероб
kylskåp;холодильник
sängbord;тумбочка, прикроватный столик
soffbord;журнальный столик
dusch;душ
blömlåda;цветочная коробка
